COD_ANTERIOR|CODIGO_NUEVO|PRODUCTO
5100010000005|5100019000035|AGUA BRISA 600ML LIMA-LIMON
5100010000037|5100019000043|AGUA H2O 1.5 LT
5100010000030|5100019000042|AGUA H2O 600ML FRUTOS TROPICALES
5100010000017|5100019000037|AGUA H2O 600ML LIMA LIMON
5100010000039|5100019000044|AGUA H2O 600ML LIMONATA
5100010000018|5100019000038|AGUA H2O 600ML MARACUYA
5100010000026|5100019000039|AGUA POSTOBON 300ML TONICA
5200010000037|5200019000001|ENERGIZANTE LIFESHOT 60ML ENERGY
5200010000038|5200019000002|ENERGIZANTE LIFESHOT 60ML RLX
5200010000033|5200019000033|ENERGIZANTE VIVE 100 240ML
5200010000035|5200019000035|ENERGIZANTE VIVE 100 380ML
5200010000002|5200019000043|GATORADE 1.0LT FRUTAS TOPICALES
5200010000004|5200019000004|GATORADE 1.0LT MANDARINA
5200010000001|5200019000042|GATORADE 500ML FRUTA TROPICALES
5200010000005|5200019000005|GATORADE 500ML MANDARINA
5200010000007|5200019000007|GATORADE 500ML MARACUYA
5200010000010|5200019000010|GATORADE 500ML UVA
5200010000009|5200019000009|GATORADE SPORT 591ML FRUTAS TROPICALES
5200010000006|5200019000006|GATORADE SPORT 591ML MANDARINA
5200010000013|5200019000013|MONSTER ENERGY 473ML LO-CARB AZUL
5200010000014|5200019000014|MONSTER ENERGY 473ML ULTRA
5200010000011|5200019000011|MONSTER ENERGY 473ML VERDE
5200010000015|5200019000015|PEAK 250ML BOTELLA
5200010000018|5200019000018|POWERADE 500ML FRUTAS TROPICALES
5200010000019|5200019000019|POWERADE 500ML MOUNTAIN BLAST
5200010000020|5200019000020|POWERADE 500ML NARANJA MANDARINA
5200010000023|5200019000023|RED BULL 250ML LATA
5200010000024|5200019000024|RED BULL 250ML LATA 4PK
5200010000025|5200019000025|RED BULL 250ML SUGAR FREE
5200010000022|5200019000022|RED BULL 355ML EXTRA CONTENIDO
5200010000040|5200019000040|SPEED MAX LATA X 269
5200010000041|5200019000041|SPEED MAX PET X 400
5200010000026|5200019000026|SQUASH 500ML FRUTAS TROPICALES
5200010000027|5200019000027|SQUASH 500ML MANDARINA
5200010000029|5200019000029|SQUASH 500ML PAGUE 1 LLEVE 2
